Timepoint,Enhancer,Coding gene,Image number,Nucleus number,Enhancer spot number,Coding gene spot,Overlapped enhancer number,
24,S+AS,KLF6,7,31,0,1,0,
24,S+AS,KLF6,7,32,0,2,0,
24,S+AS,KLF6,7,33,0,2,0,
24,S+AS,KLF6,7,34,0,0,0,
24,S+AS,KLF6,7,35,0,2,0,
24,S+AS,KLF6,7,36,1,4,1,
24,S+AS,KLF6,7,37,1,2,1,
24,S+AS,KLF6,7,38,0,2,0,
24,S+AS,KLF6,7,39,0,2,0,
24,S+AS,KLF6,7,40,0,1,0,
24,S+AS,KLF6,7,41,0,3,0,
24,S+AS,KLF6,7,42,0,2,0,
24,S+AS,KLF6,6,43,0,2,0,
24,S+AS,KLF6,6,44,1,1,0,
24,S+AS,KLF6,6,45,0,2,0,
24,S+AS,KLF6,6,46,1,3,1,
24,S+AS,KLF6,6,47,0,1,0,
24,S+AS,KLF6,6,48,0,2,0,
24,S+AS,KLF6,6,49,1,2,1,
24,S+AS,KLF6,6,50,0,2,0,
24,S+AS,KLF6,6,51,0,2,0,
24,S+AS,KLF6,6,52,1,0,0,
24,S+AS,KLF6,6,53,0,2,0,
24,S+AS,KLF6,6,54,0,3,0,
24,S+AS,KLF6,6,55,0,3,0,
24,S+AS,KLF6,6,56,0,1,0,
24,S+AS,KLF6,6,57,0,3,0,
24,S+AS,KLF6,6,58,1,1,0,
24,S+AS,KLF6,6,59,0,1,0,
24,S+AS,KLF6,6,60,1,2,0,
24,S+AS,KLF6,6,61,0,2,0,
24,S+AS,KLF6,6,62,0,2,0,
24,S+AS,KLF6,6,63,0,2,0,
24,S+AS,KLF6,6,64,0,2,0,
24,S+AS,KLF6,6,65,1,2,0,
24,S+AS,KLF6,6,66,0,2,0,
24,S+AS,KLF6,6,67,1,2,1,
24,S+AS,KLF6,6,68,1,1,0,
24,S+AS,KLF6,6,69,1,2,0,
24,S+AS,KLF6,6,70,0,1,0,
24,S+AS,KLF6,6,71,0,2,0,
24,S+AS,KLF6,6,72,1,1,1,
24,S+AS,KLF6,6,73,1,0,0,
24,S+AS,KLF6,6,74,1,2,1,
24,S+AS,KLF6,6,75,0,0,0,
24,S+AS,KLF6,6,76,0,1,0,
24,S+AS,KLF6,6,77,0,2,0,
24,S+AS,KLF6,6,78,0,2,0,
24,S+AS,KLF6,6,79,1,1,0,
24,S+AS,KLF6,6,80,0,1,0,
24,S+AS,KLF6,6,81,0,3,0,
24,S+AS,KLF6,6,82,1,2,1,
24,S+AS,KLF6,6,83,0,0,0,
24,S+AS,KLF6,6,84,1,2,0,
24,S+AS,KLF6,6,85,0,1,0,
24,S+AS,KLF6,5,86,0,2,0,
24,S+AS,KLF6,5,87,0,2,0,
24,S+AS,KLF6,5,88,0,2,0,
24,S+AS,KLF6,5,89,0,0,0,
24,S+AS,KLF6,5,90,0,0,0,
24,S+AS,KLF6,5,91,0,2,0,
24,S+AS,KLF6,5,92,0,3,0,
24,S+AS,KLF6,5,93,0,3,0,
24,S+AS,KLF6,5,94,0,3,0,
24,S+AS,KLF6,5,95,1,2,1,
24,S+AS,KLF6,5,96,0,2,0,
24,S+AS,KLF6,5,97,0,1,0,
24,S+AS,KLF6,5,98,1,2,1,
